timestamp,forecast_time,temperature,feels_like,temp_min,temp_max,pressure,humidity,weather_main,weather_description,cloud_coverage,wind_speed,wind_deg,visibility
2024-12-13T16:20:34.307188,2024-12-13 12:00:00,289.72,288.42,287.1,289.72,1017,38,Clouds,scattered clouds,39,3.78,312,10000
2024-12-13T16:20:34.307188,2024-12-13 15:00:00,288.17,286.59,285.06,288.17,1018,33,Clouds,broken clouds,59,3.58,341,10000
2024-12-13T16:20:34.307188,2024-12-13 18:00:00,285.61,283.64,283.55,285.61,1019,28,Clouds,broken clouds,71,2.51,351,10000
2024-12-13T16:20:34.307188,2024-12-13 21:00:00,282.61,281.31,282.61,282.61,1019,23,Clear,clear sky,5,2.53,349,10000
2024-12-13T16:20:34.307188,2024-12-14 00:00:00,281.79,280.66,281.79,281.79,1019,21,Clear,clear sky,3,2.11,341,10000
2024-12-13T16:20:34.307188,2024-12-14 03:00:00,282.53,281.35,282.53,282.53,1020,18,Clouds,few clouds,18,2.34,346,10000
2024-12-13T16:20:34.307188,2024-12-14 06:00:00,290.23,288.28,290.23,290.23,1019,11,Clouds,broken clouds,60,2.42,303,10000
2024-12-13T16:20:34.307188,2024-12-14 09:00:00,292.72,290.99,292.72,292.72,1017,10,Clouds,overcast clouds,95,2.91,316,10000
2024-12-13T16:20:34.307188,2024-12-14 12:00:00,287.85,285.79,287.85,287.85,1016,16,Clouds,overcast clouds,97,2.36,315,10000
2024-12-13T16:20:34.307188,2024-12-14 15:00:00,285.08,282.8,285.08,285.08,1018,18,Clouds,scattered clouds,30,2.14,346,10000
2024-12-13T16:20:34.307188,2024-12-14 18:00:00,284.5,282.16,284.5,284.5,1019,18,Clouds,broken clouds,58,1.73,357,10000
2024-12-13T16:20:34.307188,2024-12-14 21:00:00,284.09,281.68,284.09,284.09,1017,17,Clouds,overcast clouds,98,1.68,349,10000
2024-12-13T16:20:34.307188,2024-12-15 00:00:00,283.55,281.12,283.55,283.55,1017,18,Clouds,overcast clouds,99,1.66,347,10000
2024-12-13T16:20:34.307188,2024-12-15 03:00:00,284.98,282.74,284.98,284.98,1018,20,Clouds,overcast clouds,100,1.54,343,10000
2024-12-13T16:20:34.307188,2024-12-15 06:00:00,290.94,289.14,290.94,290.94,1019,14,Clouds,overcast clouds,100,0.94,211,10000
2024-12-13T16:20:34.307188,2024-12-15 09:00:00,293.2,291.6,293.2,293.2,1017,13,Clouds,broken clouds,78,1.47,213,10000
2024-12-13T16:20:34.307188,2024-12-15 12:00:00,287.69,285.77,287.69,287.69,1017,22,Clouds,broken clouds,56,1.15,169,10000
2024-12-13T16:20:34.307188,2024-12-15 15:00:00,285.64,283.55,285.64,285.64,1019,23,Clouds,overcast clouds,98,2.12,70,10000
2024-12-13T16:20:34.307188,2024-12-15 18:00:00,284.92,282.7,284.92,284.92,1019,21,Clouds,overcast clouds,88,2.57,59,10000
2024-12-13T16:20:34.307188,2024-12-15 21:00:00,284.34,282.09,284.34,284.34,1018,22,Clouds,overcast clouds,100,2.15,61,10000
2024-12-13T16:20:34.307188,2024-12-16 00:00:00,283.97,281.66,283.97,283.97,1017,21,Clouds,overcast clouds,100,1.53,34,10000
2024-12-13T16:20:34.307188,2024-12-16 03:00:00,284.62,282.37,284.62,284.62,1019,21,Clouds,overcast clouds,100,1.08,26,10000
2024-12-13T16:20:34.307188,2024-12-16 06:00:00,290.77,288.95,290.77,290.77,1019,14,Clouds,overcast clouds,100,1.31,221,10000
2024-12-13T16:20:34.307188,2024-12-16 09:00:00,292.94,291.26,292.94,292.94,1016,11,Clouds,scattered clouds,35,2.21,167,10000
2024-12-13T16:20:34.307188,2024-12-16 12:00:00,287.63,285.55,287.63,287.63,1015,16,Clouds,few clouds,17,1.29,178,10000
2024-12-13T16:20:34.307188,2024-12-16 15:00:00,285.41,283.24,285.41,285.41,1016,21,Clear,clear sky,0,2.42,66,10000
2024-12-13T16:20:34.307188,2024-12-16 18:00:00,284.48,282.19,284.48,284.48,1017,20,Clear,clear sky,0,2.86,67,10000
